travel_time,id,kind,action,origin,destination,start_time,reward,cost_table
0.6166666666666667,0,Human,0,0,0,0,-0.6166666666666667,"-0.6166666666666665,-0.4540436765058795"
0.6666666666666666,20,Human,0,0,0,0,-0.6666666666666666,"-0.6666666666666664,-0.4540436765058795"
0.6833333333333333,21,Human,0,0,0,0,-0.6833333333333333,"-0.6833333333333335,-0.4540436765058795"
0.7,1,AV,0,0,0,1,-0.7,"0,0"
0.7166666666666667,2,AV,0,0,0,2,-0.7166666666666667,"0,0"
0.7666666666666667,3,Human,0,0,0,3,-0.7666666666666667,"-0.7666666666666666,-0.4540436765058795"
0.7833333333333333,4,Human,0,0,0,4,-0.7833333333333333,"-0.7833333322100025,-0.4540436765058795"
1.2666666666666666,5,AV,1,0,0,5,-1.2666666666666666,"0,0"
0.8166666666666667,6,AV,0,0,0,6,-0.8166666666666667,"0,0"
0.8666666666666667,7,Human,0,0,0,7,-0.8666666666666667,"-0.8666666666666667,-0.4540436765058795"
1.25,8,AV,1,0,0,8,-1.25,"0,0"
0.8666666666666667,9,Human,0,0,0,9,-0.8666666666666667,"-0.8684562352500032,-0.4540436765058795"
0.8833333333333333,10,Human,0,0,0,10,-0.8833333333333333,"-0.8851229019166696,-0.4540436765058795"
0.9,11,AV,0,0,0,11,-0.9,"0,0"
1.4333333333333333,12,Human,0,0,0,12,-1.4333333333333333,"-1.4221569938623022,-0.4540436765058795"
1.45,13,AV,0,0,0,13,-1.45,"0,0"
1.4666666666666666,14,Human,0,0,0,14,-1.4666666666666666,"-1.4634720714361937,-0.4540436765058795"
1.9666666666666666,15,AV,1,0,0,15,-1.9666666666666666,"0,0"
1.4666666666666666,16,AV,0,0,0,16,-1.4666666666666666,"0,0"
1.4666666666666666,17,AV,0,0,0,17,-1.4666666666666666,"0,0"
1.95,18,AV,1,0,0,18,-1.95,"0,0"
1.4666666666666666,19,Human,0,0,0,19,-1.4666666666666666,"-1.470981241713313,-0.4540436765058795"
